"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.0004168,0.00043939,0.050175,0.013884,0.019218,0.012613,0,0,0.080489,-0.013868,0,0.065588,0,0,0,0.054666,0.0093935,0.019218,17.474,0.027759,0.041337,3.3196e-06,0,0,0
0.00080489,0.00083163,0.045547,0.0084422,0.016197,0.0094431,0,0,0.07631,-0.020162,0,0.049104,0,0,0,0.048358,0.0056307,0.016197,13.274,0.023395,0.038614,2.5102e-06,0.01,0,0
0.0015262,0.0015415,0.037946,0.0022622,0.012062,0.0048389,0,0,0.067297,-0.02548,0,0.025162,0,0,0,0.038712,0.0014959,0.012062,7.3672,0.017423,0.033219,1.3436e-06,0.02,0,0
0.0021508,0.0021285,0.032895,0.0010408,0.010181,0.0027779,0,0,0.059058,-0.023764,0,0.014445,0,0,0,0.033183,0.000753,0.010181,4.8189,0.014706,0.028895,8.3043e-07,0.03,0,0
0.0027074,0.0026312,0.029527,0.00039798,0.0089774,0.0018039,0,0,0.053428,-0.022306,0,0.0093802,0,0,0,0.029658,0.00026632,0.0089774,3.4497,0.012967,0.026149,5.9594e-07,0.04,0,0
0.0032194,0.0030687,0.027348,0.00015981,0.0082525,0.0012437,0,0,0.049649,-0.021041,0,0.0064675,0,0,0,0.027416,9.2443e-05,0.0082525,2.5614,0.01192,0.024295,4.7125e-07,0.05,0,0
0.0037003,0.0034531,0.025836,4.3148e-05,0.0077638,0.00088567,0,0,0.046988,-0.020074,0,0.0046055,0,0,0,0.025872,6.9605e-06,0.0077638,1.9291,0.011214,0.022991,3.9615e-07,0.06,0,0
0.0041592,0.0037921,0.024768,-1.4913e-05,0.0074259,0.00063432,0,0,0.045089,-0.019346,0,0.0032984,0,0,0,0.024787,-3.4431e-05,0.0074259,1.4412,0.010726,0.022059,3.4829e-07,0.07,0,0
0.0046021,0.0040914,0.024015,-4.5367e-05,0.0071909,0.00044649,0,0,0.043743,-0.018814,0,0.0023218,0,0,0,0.024025,-5.5509e-05,0.0071909,1.0467,0.010387,0.021399,3.17e-07,0.08,0,0
0.005034,0.0043553,0.023501,-6.0806e-05,0.007032,0.00029985,0,0,0.042819,-0.018441,0,0.0015592,0,0,0,0.023506,-6.5642e-05,0.007032,0.71876,0.010157,0.020945,2.9673e-07,0.09,0,0
0.0054585,0.0045876,0.023174,-6.7615e-05,0.006932,0.00018203,0,0,0.04223,-0.018199,0,0.00094657,0,0,0,0.023176,-6.9575e-05,0.006932,0.44276,0.010013,0.020655,2.8428e-07,0.1,0,0
0.0058786,0.0047916,0.023,-6.9162e-05,0.0068792,8.578e-05,0,0,0.041914,-0.018066,0,0.00044606,0,0,0,0.023,-6.9746e-05,0.0068792,0.21021,0.0099366,0.020499,2.777e-07,0.11,0,0
0.0062968,0.0049705,0.022949,-6.7379e-05,0.0068646,6.6298e-06,0,0,0.04182,-0.018023,0,3.4475e-05,0,0,0,0.02295,-6.7515e-05,0.0068646,0.015834,0.0099155,0.020452,2.7571e-07,0.12,0,0
0.006715,0.0051273,0.023001,-6.344e-05,0.0068812,-5.8265e-05,0,0,0.041911,-0.018056,0,-0.00030298,0,0,0,0.023001,-6.3678e-05,0.0068812,-0.14401,0.0099394,0.020495,2.7741e-07,0.13,0,0
0.007135,0.0052648,0.023135,-5.8093e-05,0.006923,-0.00011081,0,0,0.04215,-0.018151,0,-0.00057619,0,0,0,0.023135,-5.8722e-05,0.006923,-0.27222,0.0099998,0.02061,2.8215e-07,0.14,0,0
0.007558,0.0053859,0.023335,-5.1835e-05,0.0069849,-0.00015234,0,0,0.04251,-0.018295,0,-0.00079217,0,0,0,0.023336,-5.2963e-05,0.0069849,-0.37139,0.010089,0.020784,2.8941e-07,0.15,0,0
0.0079852,0.0054934,0.023586,-4.5007e-05,0.0070623,-0.00018392,0,0,0.042962,-0.018479,0,-0.00095638,0,0,0,0.023588,-4.662e-05,0.0070623,-0.44412,0.010201,0.021002,2.9874e-07,0.16,0,0
0.0084173,0.0055898,0.023875,-3.7852e-05,0.0071511,-0.00020644,0,0,0.043482,-0.018691,0,-0.0010735,0,0,0,0.023877,-3.986e-05,0.0071511,-0.49308,0.010329,0.021254,3.0973e-07,0.17,0,0
0.0088548,0.0056778,0.024189,-3.0556e-05,0.0072476,-0.00022077,0,0,0.044048,-0.018923,0,-0.001148,0,0,0,0.024192,-3.2827e-05,0.0072476,-0.52108,0.010469,0.021528,3.2199e-07,0.18,0,0
0.0092982,0.0057598,0.024518,-2.3277e-05,0.0073483,-0.00022775,0,0,0.04464,-0.019166,0,-0.0011843,0,0,0,0.02452,-2.5669e-05,0.0073483,-0.53096,0.010614,0.021814,3.3516e-07,0.19,0,0
0.0097476,0.005838,0.024851,-1.6165e-05,0.0074503,-0.00022825,0,0,0.045241,-0.019413,0,-0.0011869,0,0,0,0.024853,-1.8545e-05,0.0074503,-0.52556,0.010762,0.022105,3.4886e-07,0.2,0,0
0.010203,0.0059145,0.025179,-9.3766e-06,0.0075509,-0.00022312,0,0,0.045833,-0.019657,0,-0.0011602,0,0,0,0.025181,-1.1629e-05,0.0075509,-0.50755,0.010907,0.022391,3.6275e-07,0.21,0,0
